City,Country,Lat,Lng,Humidity,Hotel Name
kawambwa,ZM,-9.7915,29.0791,44,No hotel found
saint-philippe,RE,-21.3585,55.7679,80,Le Baril
olonkinbyen,SJ,70.9221,-8.7187,99,No hotel found
alofi,NU,-19.0595,-169.9187,83,Matavai Resort
pont rouge,CA,48.8833,-72.0825,82,No hotel found
qaqortoq,GL,60.7167,-46.0333,96,Hotel Qaqortoq
margaret river,AU,-33.95,115.0667,68,Margaret River Hotel
vernon,CA,50.2581,-119.2691,52,Okanagan Royal Park Inn
ribeira grande,PT,38.5167,-28.7,80,Hospedaria JSF - 3 Estrelas
codrington,AU,-38.2667,141.9667,60,No hotel found
port-aux-francais,TF,-49.35,70.2167,99,Keravel
dunedin,NZ,-45.8742,170.5036,84,Scenic Hotel Dunedin City
punta arenas,CL,-53.15,-70.9167,81,Hotel Lacolet
grytviken,GS,-54.2811,-36.5092,88,No hotel found
laguna,US,38.421,-121.4238,41,Holiday Inn Express & Suites
adamstown,PN,-25.066,-130.1015,79,No hotel found
at taj,LY,24.2049,23.2857,27,No hotel found
hawaiian paradise park,US,19.5933,-154.9731,72,No hotel found
amursk,RU,50.2261,136.8994,47,Центральная
ust-nera,RU,64.5667,143.2,31,"гостиница ""Солнечная"""
mil'kovo,RU,55.6078,37.7956,61,Дрозды
georgetown,MY,5.4112,100.3354,89,Page 63 hostel
blackmans bay,AU,-43.0167,147.3167,69,Villa Howden
mount gambier,AU,-37.8333,140.7667,64,The Old Mount Gambier Gaol
college,US,64.8569,-147.8028,42,BEST WESTERN PLUS Pioneer Park Inn
iqaluit,CA,63.7506,-68.5145,75,Frobisher Inn
puerto natales,CL,-51.7236,-72.4875,94,Dorotea Patagonia Hostel
bilibino,RU,68.0546,166.4372,40,No hotel found
persembe,TR,41.0656,37.7714,80,Hotel Dedeevi
paraiso,CR,9.8383,-83.8656,87,Cabinas
sao jose da coroa grande,BR,-8.8978,-35.1478,90,Hotel do Sol
waitangi,NZ,-43.9535,-176.5597,79,Hotel Chathams
albany,US,42.6001,-73.9662,84,No hotel found
maragogi,BR,-9.0122,-35.2225,83,Pousada Mariluz
tete,MZ,-16.1564,33.5867,87,Zambezi Hotel
haiku-pauwela,US,20.9219,-156.3051,69,Inn At Mama's Fish House
coyhaique,CL,-45.5752,-72.0662,86,No hotel found
ketchikan,US,55.3422,-131.6461,70,Cape Fox Lodge
jumla,NP,29.2747,82.1838,81,Amar Sandesh Guesthouse
west island,CC,-12.1568,96.8225,83,Cocos Village Bungalows
bredasdorp,ZA,-34.5322,20.0403,68,Victoria Hotel
rouissat,DZ,31.9243,5.3502,18,فندق الأروي الذهبي
noumea,NC,-22.2763,166.4572,99,Hotel Gondwana
hamilton,US,39.1834,-84.5333,61,North Vista Manor
kingston,JM,17.997,-76.7936,82,Aphrodite Hotel
camarinas,ES,43.1311,-9.1817,91,O Parranda
st. john's,CA,47.5649,-52.7093,94,Alt Hotel
cabo san lucas,MX,22.8909,-109.9124,50,Comfort Rooms
tahlequah,US,35.9154,-94.97,65,Days Inn & Suites by Wyndham Tahlequah
vadso,NO,70.0744,29.7487,100,Scandic Vadsø
carnarvon,AU,-24.8667,113.6333,90,No hotel found
amos,CA,48.5669,-78.1162,67,Hôtel des Eskers
masaka,UG,-0.3338,31.7341,86,Golf Lane Hotel
remire-montjoly,GF,4.9167,-52.2667,94,Complexe Belova
lipovtsy,RU,44.2014,131.7244,46,No hotel found
laboulaye,AR,-34.1266,-63.3912,72,Hotel Plaza
bosaso,SO,11.2842,49.1816,63,Bosaso hotel
edinburgh of the seven seas,SH,-37.0676,-12.3116,85,No hotel found
udachny,RU,66.4167,112.4,66,Вилюй
thinadhoo,MV,0.5333,72.9333,73,No hotel found
kerikeri,NZ,-35.2268,173.9474,77,Avalon Resort
saipan,MP,15.1355,145.701,100,Chalan Kanoa Beach Hotel
crane,US,31.3974,-102.3501,10,No hotel found
kulhudhuffushi,MV,6.6221,73.07,76,No hotel found
yellowknife,CA,62.456,-114.3525,41,No hotel found
vilyuchinsk,RU,52.9306,158.4028,94,Победа
sao joao da barra,BR,-21.6403,-41.0511,71,Pousada Mediterrâneo
harrisonville,US,38.6533,-94.3488,69,Knights Inn Harrisonville
weno,FM,7.4515,151.8468,77,High Tide Hotel
papatowai,NZ,-46.5619,169.4708,75,No hotel found
el calafate,AR,-50.3408,-72.2768,67,Hostería Las Avutardas
verneuil-sur-avre,FR,48.7395,0.9273,95,Hôtel-Restaurant Le Saumon
bhachau,IN,23.2833,70.35,73,No hotel found
uturoa,PF,-16.7333,-151.4333,73,Hawaiki Nui hotel
lebu,CL,-37.6167,-73.65,77,No hotel found
utrik,MH,11.2278,169.8474,74,No hotel found
dolores,AR,-36.3132,-57.6792,65,Plaza Hotel
bad bevensen,DE,53.0833,10.5833,59,Parkhotel Bad Bevensen
ancud,CL,-41.8697,-73.8203,63,Cabañas
sao tome,ST,0.3365,6.7273,81,Hotel Baia
tiksi,RU,71.6872,128.8694,60,Арктика
deqen,CN,29.9618,90.7188,95,No hotel found
yermentau,KZ,51.6214,73.1069,45,Достык
puerto real,ES,36.5282,-6.1901,88,Hostal Bahía de Cádiz
stanley,GB,54.868,-1.6985,94,Hotel 52
kabo,CF,7.6994,18.629,97,No hotel found
mejit,MH,10.2753,170.8646,76,No hotel found
cururupu,BR,-1.8283,-44.8683,98,No hotel found
isafjordur,IS,66.0755,-23.124,76,Hótel Horn
labytnangi,RU,66.6572,66.4183,73,Семь лиственниц
keren,ER,15.7778,38.4581,57,Eritrea Hotel قندق إرتريا
muisne,EC,0.6,-80.0333,87,Hostal Té de Menta
lahij,YE,13.1667,44.5833,47,No hotel found
tshela,CD,-4.9833,12.9333,97,No hotel found
kalabo,ZM,-14.97,22.6814,37,Golden Lodge Luxury Acomodation
ilulissat,GL,69.2167,-51.1,75,Best Western Plus Hotel Ilulissat
hadibu,YE,12.65,54.0333,81,No hotel found
suva,FJ,-18.1416,178.4415,65,Extension 68
mikumi,TZ,-7.4041,36.9831,89,VETA Guest House
kamenica,DE,50.8333,12.9167,78,Dorint Kongresshotel Chemnitz
hermanus,ZA,-34.4187,19.2345,90,Aloe guest house
mogocha,RU,53.7333,119.7667,94,7Ka
kirakira,SB,-10.4544,161.9205,81,No hotel found
san patricio,US,28.017,-97.5169,82,No hotel found
oum hadjer,TD,13.2954,19.6966,30,No hotel found
ylitornio,FI,66.3089,23.6773,75,Lomakeskus Karemajat
ushuaia,AR,-54.8,-68.3,69,Apart Hotel Aires del Beagle
andergrove,AU,-21.0833,149.1833,72,No hotel found
birnin kudu,NG,11.4459,9.4984,54,No hotel found
badger,US,64.8,-147.5333,44,Hotel North Pole
darwin,AU,-12.4611,130.8418,54,Mantra Pantanas Darwin
iskateley,RU,67.6803,53.1512,72,Авантаж
taro,ID,-8.3862,115.28,41,Padma Resort Ubud
dudinka,RU,69.4058,86.1778,99,Виктория
adrar,MR,20.5022,-10.0711,14,No hotel found
wailua homesteads,US,22.0669,-159.378,68,Hilton Garden Inn Kauai Wailua Bay
kodiak,US,57.79,-152.4072,62,Shelikof Lodge
ballycastle,GB,55.2044,-6.243,93,Marine Hotel
borogontsy,RU,62.6683,131.1683,43,No hotel found
howrah,IN,22.5892,88.3103,89,Sun India Guest House
ola,RU,59.5833,151.2833,81,No hotel found
buka,UZ,40.8108,69.1986,27,No hotel found
nabire,ID,-3.3667,135.4833,71,Hotel Anggrek
bethel,US,41.3712,-73.414,77,Hampton Inn Danbury
newman,US,37.3138,-121.0208,42,No hotel found
birobidzhan,RU,48.8,132.95,53,Мини-гостиница
howard springs,AU,-12.497,131.047,45,No hotel found
taroa,MH,8.7058,171.2275,76,No hotel found
labrador city,CA,52.9463,-66.9114,71,Carol Inn
hit,IQ,33.6416,42.8251,30,No hotel found
fort st. john,CA,56.2499,-120.8529,55,Fort St. John Motor Inn
nova vicosa,BR,-17.8919,-39.3719,85,Pousada Pontal da Barra
port victoria,KE,0.0939,33.9756,81,No hotel found
carutapera,BR,-1.195,-46.02,94,No hotel found
puerto ayora,EC,-0.7393,-90.3518,92,Hostal La Mirada De Solitario George
ziar nad hronom,SK,48.5918,18.8496,84,Relax Thermal
afaahiti,PF,-17.75,-149.2833,75,Omati Lodge
perugorria,AR,-29.3413,-58.6106,82,No hotel found
chhor,PK,25.5167,69.7667,74,No hotel found
karratha,AU,-20.7377,116.8463,85,Karratha International Hotel
queenstown,ZA,-31.8976,26.8753,43,Queens Hotel
las palmas,ES,28.4204,-14.0131,73,Era de La Corte
brookings,US,44.3114,-96.7984,61,Quality Inn
longyearbyen,SJ,78.2186,15.6401,93,The Vault
idri,LY,27.5,13.2667,21,No hotel found
mariana,BR,-20.3778,-43.4161,97,Hotel Müller
atafu village,TK,-8.5421,-172.5159,73,No hotel found
naze,JP,28.3667,129.4833,93,ビジネス旅館畠山
cole harbour,CA,44.6724,-63.4751,97,Hearthstone Inn Boutique Hotel Dartmouth/Halifax
benguela,AO,-12.5763,13.4055,87,Hotel Moibela
port mathurin,MU,-19.6833,63.4167,58,Escale Vacances
island harbour,GB,50.724,-1.2758,94,Premier Inn
susangerd,IR,31.5608,48.1831,19,No hotel found
las tablas,PA,7.7667,-80.2833,85,Hotel Don Jesus
muravlenko,RU,63.7898,74.523,76,Е-Отель
sovetskaya gavan',RU,48.9723,140.2878,67,Гостинный Двор
puerto deseado,AR,-47.7503,-65.8938,53,Los Olmos
ahiri,IN,19.4,80.0167,41,No hotel found
ostersund,SE,63.1792,14.6357,31,Hotell Stortorget
gadzhiyevo,RU,69.2551,33.3362,86,Оазис
homer,US,59.6425,-151.5483,68,Driftwood Inn & Homer Seaside Lodges
inari,FI,68.906,27.0288,69,Villa Lanca
vorgashor,RU,67.5833,63.95,99,София
whitehorse,CA,60.7161,-135.0538,45,Town & Mountain Hotel
sergeyevka,KZ,53.88,67.4158,86,"Гостиница ""Шанырак"""
merowe,SD,18.4833,31.8167,11,Merowe Land
lompoc,US,34.6391,-120.4579,83,Embassy Suites by Hilton Lompoc Central Coast
happy valley-goose bay,CA,53.3168,-60.3315,57,Hotel North Two
santiago de cao,PE,-7.9589,-79.2392,88,Hostal El Encanto
thompson,CA,55.7435,-97.8558,78,Thompson Inn
bocas del toro,PA,9.3333,-82.25,87,B&B Surfari
keflavik,IS,64.0049,-22.5624,87,Núpan Deluxe
tazovsky,RU,67.4667,78.7,97,Тазовчанка
manavalakurichi,IN,8.1333,77.3,79,No hotel found
kokologo,BF,12.1897,-1.8856,60,No hotel found
nagqu,CN,31.5,92.0,64,Naqu Hotel
fort bragg,US,35.139,-79.006,63,Airborne Inn Lodging
smithers,CA,54.7804,-127.1743,58,Sunshine Inn Hotel
alaghsas,NE,17.0187,8.0168,18,Hôtel Zagado
itaperuna,BR,-21.205,-41.8878,90,Top Center
nova sintra,CV,14.8667,-24.7167,84,Residência Ka Dencho
knyaze-volkonskoye,RU,48.4642,135.4567,57,No hotel found
san martin,AR,-33.081,-68.4681,56,Hotel Lacava
tavira,PT,37.1273,-7.6486,62,Residencial Princesa do Gilao
guajara mirim,BR,-10.7828,-65.3394,82,Hotel Gaúcha
totness,SR,5.8833,-56.3167,91,No hotel found
santa marta,CO,11.2408,-74.199,76,Casa Mita
dwarka,IN,22.2394,68.9678,75,The Dwarika Hotel
middelburg,ZA,-25.7751,29.4648,36,No hotel found
mugia,ES,43.1041,-9.2179,93,Solpor do Coído
micheweni,TZ,-4.9667,39.8333,81,No hotel found
zheleznogorsk-ilimskiy,RU,56.5768,104.1217,96,Магнетит
suhbaatar,MN,50.2314,106.2078,51,Selenge Hotel
klyuchi,RU,52.2667,79.1667,49,No hotel found
huarmey,PE,-10.0681,-78.1522,83,Hostal Santa Rosa
el bauga,SD,18.262,33.9081,23,No hotel found
kitui,KE,-1.367,38.0106,94,Parkside Hotel
ghadamis,LY,30.1337,9.5007,14,فندق عين الفارس
la passe,FR,45.5549,-0.8967,92,L'Estuaire
invercargill,NZ,-46.4,168.35,70,The Grand
zhangjiakou,CN,40.81,114.8794,85,商务宾馆
playa del ingles,ES,27.7567,-15.5787,83,Apartamentos Barbados
fernie,CA,49.5,-115.0687,65,Royal Hotel
villa gesell,AR,-37.2639,-56.973,78,Hotel El Faro
sint michiel liber,CW,12.15,-68.9833,83,Blue Bay Lodges
caleta de carquin,PE,-11.0925,-77.6267,82,Hotel Mi Choacan
sakakah,SA,29.9697,40.2064,21,فندق النزل
chonchi,CL,-42.6128,-73.8092,86,Hotel Huildín
amanpur,IN,27.7167,78.75,47,No hotel found
oke ila,NG,7.951,4.9883,99,No hotel found
priargunsk,RU,50.3691,119.1012,82,No hotel found
tehri,IN,30.3833,78.4833,46,Hotel Bhagirathi Darshan
forster,AU,-32.1667,152.5167,43,No hotel found
chiras,AF,35.4167,65.9823,27,No hotel found
rikaze,CN,29.25,88.8833,61,Gesar Hotel
vyazemskiy,RU,47.5378,134.7525,50,Гостиница
ghat,LY,24.9647,10.1728,20,فندق تاسيلي
enewetak,MH,11.3474,162.3373,78,No hotel found
tura,IN,25.5198,90.2201,97,No hotel found
dodola,ET,6.9833,39.1833,89,No hotel found
susuman,RU,62.7833,148.1667,40,No hotel found
anadyr,RU,64.75,177.4833,39,Гостевой дом
angaur state,PW,6.906,134.13,73,No hotel found
uliastay,MN,47.7417,96.8444,33,Болоржин зочид буудал
port elizabeth,ZA,-33.918,25.5701,94,Waterford Hotel
beshariq,UZ,40.4358,70.6103,30,No hotel found
bridlington,GB,54.0831,-0.1919,95,Brunswick Hotel
vila velha,BR,-20.3297,-40.2925,84,Hotel Prainha
arraial do cabo,BR,-22.9661,-42.0278,74,No hotel found
aykhal,RU,66.0,111.5,54,Уют
castillos,UY,-34.1667,-53.8333,92,A mi gente
talnakh,RU,69.4865,88.3972,99,Талнах
hammerfest,NO,70.6634,23.6821,71,Thon Hotel Hammerfest
puerto armuelles,PA,8.2833,-82.8667,74,Coco del Mar
ma'rib,YE,15.4591,45.3253,28,No hotel found
ponta delgada,PT,37.7333,-25.6667,94,Hotel Talisman
bhamo,MM,24.2667,97.2333,88,Winlight Hotel
rio grande,BR,-32.035,-52.0986,72,Hotel Vila Moura Executivo
dalnerechensk,RU,45.9339,133.7225,54,Центральная
saint-tropez,FR,43.2693,6.6398,90,No hotel found
polyarnyy,RU,69.1989,33.4478,88,No hotel found
ofunato,JP,39.0717,141.7167,62,No hotel found
ar ruways,AE,24.1103,52.7306,67,No hotel found
altus,US,34.6381,-99.334,45,Days Inn by Wyndham Altus
qamdo,CN,31.1667,97.2333,69,银杏商务宾馆
hasaki,JP,35.7333,140.8333,72,大新旅館
isfahan,IR,32.6572,51.6776,12,هتل فیروزه
diapaga,BF,12.0708,1.7889,62,Le Gacilien
tsiombe,MG,-25.3,45.4833,79,No hotel found
port lincoln,AU,-34.7333,135.8667,54,Boston Hotel
tianshui,CN,34.5439,105.6897,49,丽都假日酒店
calama,CL,-22.4667,-68.9333,18,Apart Hotel Geotel Calama
ranot,TH,7.7777,100.3213,75,Tarin Hotel
centerport,US,40.8854,-73.3762,72,Hampton Inn & Suites Huntington Downtown
lincoln,US,40.8,-96.667,75,New Victorian Suites Lincoln
umarkot,PK,25.3616,69.7362,75,No hotel found
santa terezinha,BR,-29.9002,-50.0904,76,Center Hotel
sovetskiy,RU,61.3614,63.5842,52,Кировская
lubao,PH,14.9167,120.55,65,Hacienda de Gracia Resort
tefe,BR,-3.3542,-64.7114,95,Pousada Santa Teresa
xilin hot,CN,43.9667,116.0333,62,Hotel hailibu 120
jayapura,ID,-2.5333,140.7,80,Hotel Jasmine Jayapura
ta`u,AS,-14.2336,-169.5144,79,No hotel found
geraldton,AU,-28.7667,114.6,66,Ocean Centre Hotel
luderitz,,-26.6481,15.1594,83,Seaview Hotel Zum Sperrgebiet
westport,US,41.1415,-73.3579,72,Norwalk Inn and Conference Center
nelson,NZ,-41.2833,173.2833,85,Skylight Villa
fale old settlement,TK,-9.3852,-171.2468,71,No hotel found
petropavlovsk-kamchatsky,RU,53.0452,158.6483,93,ООО Постоялый двор
marquette,US,46.5333,-87.6335,71,No hotel found
armacao de buzios,BR,-22.7469,-41.8817,88,Vila da Santa
kapuskasing,CA,49.4169,-82.4331,38,Travelodge
rongelap,MH,11.1635,166.8941,76,No hotel found
ambon,ID,-3.6954,128.1814,82,Hotel Hero
mermoz boabab,SN,14.7065,-17.4758,78,Le Shéhérazade
kharabali,RU,47.4196,47.2568,53,No hotel found
dahab,EG,28.501,34.5134,45,Lighthouse Hotel
minas de marcona,PE,-15.2119,-75.1103,84,No hotel found
laixi,CN,36.8592,120.5269,41,豪邦度假村
north bend,US,43.4065,-124.2243,72,The Mill Casino Hotel
avarua,CK,-21.2078,-159.775,89,Paradise Inn
leh,IN,34.1667,77.5833,41,Kang Lha Chen
tahe,CN,52.3333,124.7333,47,No hotel found
shalqar,KZ,47.8333,59.6,69,Бекнур
tofol,FM,5.3248,163.0078,83,Nautilus Resort
nogliki,RU,51.8333,143.1667,79,Ноглики
okhotsk,RU,59.3833,143.3,71,No hotel found
khandyga,RU,62.6667,135.6,31,Апельсин
tazacorte,ES,28.629,-17.9293,93,App Leyma
san antonio de pale,GQ,-1.4014,5.6325,84,No hotel found
lashio,MM,22.9333,97.75,94,Golden Kaniri Hotel
punta alta,AR,-38.8759,-62.0736,67,Gran Hotel
nova olinda do norte,BR,-3.8881,-59.0942,91,No hotel found
marsh harbour,BS,26.5412,-77.0636,74,Lofty Fig Villas
jamestown,US,42.097,-79.2353,52,DoubleTree Jamestown
parauapebas,BR,-6.0675,-49.9022,81,Hotel Igarapé
rio gallegos,AR,-51.6226,-69.2181,69,Amérian Río Gallegos Apart & Suites
